"id","amount_type","code","amount","name","type_tax_use","sequence","description","chart_template_id/id"
"80","percent","80","20.0","20% (080)","sale","1","20%","l10n_ma_temp_chart"
"81","percent","81","20.0","20% (081)","sale","2","20%","l10n_ma_temp_chart"
"82","percent","82","20.0","20% (082)","sale","3","20%","l10n_ma_temp_chart"
"83","percent","83","20.0","20% (083)","sale","4","20%","l10n_ma_temp_chart"
"87","percent","87","20.0","20% (087)","sale","5","20%","l10n_ma_temp_chart"
"102","percent","102","20.0","20% (102)","sale","6","20%","l10n_ma_temp_chart"
"84","percent","84","14.0","14% (084)","sale","7","14%","l10n_ma_temp_chart"
"86","percent","86","14.0","14% (086)","sale","8","14%","l10n_ma_temp_chart"
"88","percent","88","14.0","14% (088)","sale","9","14%","l10n_ma_temp_chart"
"90","percent","90","14.0","14% (090)","sale","10","14%","l10n_ma_temp_chart"
"104","percent","104","14.0","14% (104)","sale","11","14%","l10n_ma_temp_chart"
"91","percent","91","14.0","14% (091)","sale","12","14%","l10n_ma_temp_chart"
"78","percent","78","10.0","10% (078)","sale","13","10%","l10n_ma_temp_chart"
"79","percent","79","10.0","10% (079)","sale","14","10%","l10n_ma_temp_chart"
"85","percent","85","10.0","10% (085)","sale","15","10%","l10n_ma_temp_chart"
"89","percent","89","10.0","10% (089)","sale","16","10%","l10n_ma_temp_chart"
"92","percent","92","10.0","10% (092)","sale","17","10%","l10n_ma_temp_chart"
"93","percent","93","10.0","10% (093)","sale","18","10%","l10n_ma_temp_chart"
"94","percent","94","10.0","10% (094)","sale","19","10%","l10n_ma_temp_chart"
"95","percent","95","10.0","10% (095)","sale","20","10%","l10n_ma_temp_chart"
"96","percent","96","10.0","10% (096)","sale","21","10%","l10n_ma_temp_chart"
"97","percent","97","10.0","10% (097)","sale","22","10%","l10n_ma_temp_chart"
"98","percent","98","10.0","10% (098)","sale","23","10%","l10n_ma_temp_chart"
"99","percent","99","10.0","10% (099)","sale","24","10%","l10n_ma_temp_chart"
"100","percent","100","10.0","10% (100)","sale","25","10%","l10n_ma_temp_chart"
"101","percent","101","10.0","10% (101)","sale","26","10%","l10n_ma_temp_chart"
"103","percent","103","10.0","10% (103)","sale","27","10%","l10n_ma_temp_chart"
"105","percent","105","10.0","10% (105)","sale","28","10%","l10n_ma_temp_chart"
"108","percent","108","10.0","10% (108)","sale","29","10%","l10n_ma_temp_chart"
"109","percent","109","10.0","10% (109)","sale","30","10%","l10n_ma_temp_chart"
"118","percent","118","10.0","10% (118)","sale","31","10%","l10n_ma_temp_chart"
"106","percent","106","7.0","7% (106)","sale","32","7%","l10n_ma_temp_chart"
"107","percent","107","7.0","7% (107)","sale","33","7%","l10n_ma_temp_chart"
"110","percent","110","7.0","7% (110)","sale","34","7%","l10n_ma_temp_chart"
"111","percent","111","7.0","7% (111)","sale","35","7%","l10n_ma_temp_chart"
"113","percent","113","7.0","7% (113)","sale","36","7%","l10n_ma_temp_chart"
"114","percent","114","7.0","7% (114)","sale","37","7%","l10n_ma_temp_chart"
"115","percent","115","7.0","7% (115)","sale","38","7%","l10n_ma_temp_chart"
"116","percent","116","7.0","7% (116)","sale","39","7%","l10n_ma_temp_chart"
"117","percent","117","7.0","7% (117)","sale","40","7%","l10n_ma_temp_chart"
"119","percent","119","7.0","7% (119)","sale","41","7%","l10n_ma_temp_chart"
"140","percent","140","20.0","20% (140)","purchase","42","20%","l10n_ma_temp_chart"
"141","percent","141","14.0","14% (141)","purchase","43","14%","l10n_ma_temp_chart"
"142","percent","142","10.0","10% (142)","purchase","44","10%","l10n_ma_temp_chart"
"143","percent","143","10.0","10% (143)","purchase","45","10%","l10n_ma_temp_chart"
"144","percent","144","10.0","10% (144)","purchase","46","10%","l10n_ma_temp_chart"
"153","percent","153","10.0","10% (153)","purchase","47","10%","l10n_ma_temp_chart"
"145","percent","145","20.0","20% (145)","purchase","48","20%","l10n_ma_temp_chart"
"146","percent","146","20.0","20% (146)","purchase","49","20%","l10n_ma_temp_chart"
"147","percent","147","14.0","14% (147)","purchase","50","14%","l10n_ma_temp_chart"
"148","percent","148","14.0","14% (148)","purchase","51","14%","l10n_ma_temp_chart"
"149","percent","149","10.0","10% (149)","purchase","52","10%","l10n_ma_temp_chart"
"150","percent","150","10.0","10% (150)","purchase","53","10%","l10n_ma_temp_chart"
"151","percent","151","7.0","7% (151)","purchase","54","7%","l10n_ma_temp_chart"
"152","percent","152","7.0","7% (152)","purchase","55","7%","l10n_ma_temp_chart"
"155","percent","155","20.0","20% (155)","purchase","56","20%","l10n_ma_temp_chart"
"156","percent","156","20.0","20% (156)","purchase","57","20%","l10n_ma_temp_chart"
"162","percent","162","20.0","20% (162)","purchase","58","20%","l10n_ma_temp_chart"
"163","percent","163","20.0","20% (163)","purchase","59","20%","l10n_ma_temp_chart"
"164","percent","164","20.0","20% (164)","purchase","60","20%","l10n_ma_temp_chart"
"165","percent","165","20.0","20% (165)","purchase","61","20%","l10n_ma_temp_chart"
"166","percent","166","20.0","20% (166)","purchase","62","20%","l10n_ma_temp_chart"
"167","percent","167","20.0","20% (167)","purchase","63","20%","l10n_ma_temp_chart"
"168","percent","168","14.0","14% (168)","purchase","64","14%","l10n_ma_temp_chart"
"169","percent","169","7.0","7% (169)","purchase","65","7%","l10n_ma_temp_chart"
"20","percent","20","0.0","Opérations situées hors champs de la TVA","sale","66","0%","l10n_ma_temp_chart"
"30","percent","30","0.0","Opérations exonérées sans droit à déduction","sale","67","0%","l10n_ma_temp_chart"
"40","percent","40","0.0","Opérations exonérées avec droit à déduction","sale","68","0%","l10n_ma_temp_chart"
"50","percent","50","0.0","Opérations faites en suspension de la TVA","sale","69","0%","l10n_ma_temp_chart"
"",,,,,,,,